Marca,Modelo,Alemania (€),Países Bajos (€),Reino Unido (£),Precio_Rango,Rango,Bateria,Eficiencia,Peso,Remolque,Carga_Rapida,Carga_Vol,Rango_1_parada,Traccion_trasera,Traccion_delantera,Segmento_mercado,Clasificacion_seguridad,Numero_asientos,Bomba_calor,Carga_bidireccional,Imagen_tag,Sitio
Tesla,Model Y RWD (Juniper),No disponible,No disponible,No disponible,131,365 km,60.0 kWh,164 Wh/km,2003 kg,1600,110,971,430,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_Y_2025/Tesla_Model_Y_2025-01-thumb.jpg,https://ev-database.org/
BMW,i3 120 Ah,"€39,000","€39,939","£33,805",167,235 km,37.9 kWh,161 Wh/km,1345 kg,0,47,260,222,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_i3_2019/BMW_i3_2019-01-thumb.jpg,https://ev-database.org/
BYD,ATTO 3 (MY23-24),"€37,990","€39,690","£37,195",122,330 km,60.5 kWh,183 Wh/km,1825 kg,0,71,440,325,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_ATTO_3/BYD_ATTO_3-01-thumb.jpg,https://ev-database.org/
Kia,EV3 Long Range,No disponible,No disponible,No disponible,91,455 km,78.0 kWh,171 Wh/km,1885 kg,1000,105,485,472,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Kia_EV3_2025/Kia_EV3_2025-01-thumb.jpg,https://ev-database.org/
Tesla,Model 3 Long Range RWD (Highland),No disponible,No disponible,No disponible,87,545 km,75.0 kWh,138 Wh/km,1822 kg,1000,124,682,653,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_3_2024/Tesla_Model_3_2024-01-thumb.jpg,https://ev-database.org/
Mercedes-Benz,CLA 250+,No disponible,No disponible,No disponible,99,565 km,85.0 kWh,150 Wh/km,2055 kg,1500,170,506,700,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Mercedes_CLA/Mercedes_CLA-01-thumb.jpg,https://ev-database.org/
Tesla,Model Y Long Range AWD (Juniper),No disponible,No disponible,No disponible,124,450 km,75.0 kWh,167 Wh/km,2072 kg,1600,124,971,531,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_Y_2025/Tesla_Model_Y_2025-01-thumb.jpg,https://ev-database.org/
MG,MG4 Electric 64 kWh,No disponible,No disponible,No disponible,102,360 km,61.7 kWh,171 Wh/km,1726 kg,500,115,363,405,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/MG_MG4_Electric_2022/MG_MG4_Electric_2022-01-thumb.jpg,https://ev-database.org/
BYD,DOLPHIN 60.4 kWh,No disponible,No disponible,No disponible,100,350 km,60.5 kWh,173 Wh/km,1733 kg,0,65,345,338,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_DOLPHIN/BYD_DOLPHIN-01-thumb.jpg,https://ev-database.org/
Tesla,Model Y Long Range RWD (Juniper),No disponible,No disponible,No disponible,115,455 km,75.0 kWh,165 Wh/km,1976 kg,1600,124,971,540,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_Y_2025/Tesla_Model_Y_2025-01-thumb.jpg,https://ev-database.org/
